
 Params: N = 370 | d = 1 | type of data: dm| Becker Hist Avg price = 6.010404109954834 | Max Price: 19.521677017211914
 Params: N = 370 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.010404109954834 | Max Price: 19.521677017211914
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 430 | d = 1 | type of data: dm| Becker Hist Avg price = 6.010011196136475 | Max Price: 19.59312629699707
 Params: N = 430 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.010011196136475 | Max Price: 19.59312629699707
 Params: N = 460 | d = 1 | type of data: dm| Becker Hist Avg price = 6.0241289138793945 | Max Price: 19.649932861328125
 Params: N = 460 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.024548053741455 | Max Price: 19.649932861328125
 Params: N = 490 | d = 1 | type of data: dm| Becker Hist Avg price = 6.030768871307373 | Max Price: 19.676610946655273
 Params: N = 490 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.030768871307373 | Max Price: 19.676610946655273
 Params: N = 10 | d = 1 | type of data: dm| Becker Hist Avg price = 6.036018371582031 | Max Price: 14.333578109741211
 Params: N = 100 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.142141819000244 | Max Price: 18.351926803588867
 Params: N = 10 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.025518417358398 | Max Price: 14.317656517028809
 Params: N = 10 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.038242816925049 | Max Price: 14.352303504943848
 Params: N = 10 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.038242816925049 | Max Price: 14.352303504943848
 Params: N = 40 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.035758018493652 | Max Price: 17.27175521850586
 Params: N = 70 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.055403232574463 | Max Price: 18.08362579345703
 Params: N = 100 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.218656539916992 | Max Price: 18.489606857299805
 Params: N = 130 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.019228935241699 | Max Price: 18.70780372619629
 Params: N = 160 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.014829635620117 | Max Price: 18.890090942382812
 Params: N = 190 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.0152788162231445 | Max Price: 19.045249938964844
 Params: N = 220 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022917747497559 | Max Price: 19.194246292114258
 Params: N = 250 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.006269454956055 | Max Price: 19.278057098388672
 Params: N = 280 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.017400741577148 | Max Price: 19.365787506103516
 Params: N = 310 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.04089879989624 | Max Price: 19.43264389038086
 Params: N = 340 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 5.986993312835693 | Max Price: 19.447099685668945
 Params: N = 370 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.003982067108154 | Max Price: 19.49952507019043
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.008493423461914 | Max Price: 19.53228187561035
 Params: N = 430 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 5.9961161613464355 | Max Price: 19.567001342773438
 Params: N = 460 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.0165534019470215 | Max Price: 19.636701583862305
 Params: N = 490 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.023857593536377 | Max Price: 19.665077209472656
 Params: N = 10 | d = 1 | type of data: harmonic| Becker Hist Avg price = 29.642507553100586 | Max Price: 51.905799865722656
 Params: N = 10 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 29.4837589263916 | Max Price: 51.73844528198242
